edad,tieneHijos,cantidadHijos,genero,nivelEducativo,religiosidad,conservadorProgresista,userId,1_correct,2_correct,3_correct,4_correct,5_correct,6_correct,7_correct,8_correct,9_correct,10_correct,11_correct,12_correct
26,0,-999,1,6,24,45,1,1,0,1,1,0,1,1,1,0,1,1,0
26,0,-999,1,5,0,85,2,1,1,1,1,0,0,1,1,1,1,0,1
36,1,1,1,6,1,100,3,0,1,1,0,1,0,1,1,1,1,1,0
21,0,-999,2,5,0,67,4,1,1,1,1,1,1,1,1,1,0,0,1
26,0,-999,1,5,41,86,5,1,1,0,1,1,1,0,1,0,1,1,1
44,1,1,1,5,70,96,6,1,1,1,1,1,1,0,1,1,1,0,1
25,0,-999,1,5,37,100,7,1,0,0,1,0,0,1,0,1,0,0,1
40,0,-999,2,4,3,100,8,0,1,1,1,0,1,1,1,0,1,1,1
27,1,1,2,4,0,67,9,0,1,1,0,1,0,1,1,1,1,1,0
29,0,-999,1,5,0,88,10,1,1,0,1,1,1,1,0,1,0,1,1
35,1,1,1,5,48,55,11,1,0,1,1,0,0,0,1,1,1,0,0
52,0,-999,1,5,1,78,12,1,1,1,1,1,1,0,0,0,1,1,1
29,0,-999,1,6,7,99,13,0,1,1,1,1,0,0,1,1,0,1,0
46,1,1,2,6,12,47,14,1,1,0,0,0,1,1,1,0,0,1,1
27,0,-999,2,4,62,50,15,0,0,1,0,0,1,0,0,1,0,0,0
25,0,-999,1,6,3,96,16,1,1,1,1,1,0,0,0,0,1,1,1
16,0,-999,1,3,33,54,17,1,1,1,0,1,1,0,1,0,1,0,0
18,0,-999,2,4,22,81,18,0,1,0,1,1,1,0,0,0,1,0,1
25,0,-999,2,5,0,100,19,0,0,0,0,1,0,1,0,0,0,1,1
31,0,-999,2,4,0,65,20,1,1,1,0,1,1,0,1,1,1,1,1
28,0,-999,1,5,0,76,21,1,1,1,1,1,1,1,0,0,1,1,0
28,0,-999,1,5,0,93,22,1,1,0,0,0,1,1,1,1,0,0,0
16,0,-999,2,3,0,51,23,1,0,0,0,1,0,1,1,0,1,0,0
31,1,1,2,5,56,75,24,1,1,0,1,1,1,0,0,1,0,0,1
32,0,-999,2,6,78,52,25,0,0,1,1,1,0,1,0,0,1,0,0
24,0,-999,1,5,3,93,26,1,0,1,1,1,0,1,1,1,0,0,1
21,0,-999,1,5,0,78,27,1,1,1,0,1,0,0,0,1,1,1,1
50,1,1,1,6,0,71,28,1,1,0,1,1,1,0,1,0,0,1,0
26,1,1,1,5,20,50,29,1,1,0,1,1,0,1,1,1,1,0,0
19,0,-999,1,5,17,69,30,1,1,0,0,0,1,0,1,1,1,1,1
31,1,1,2,3,52,70,31,1,1,1,1,1,1,1,1,1,0,0,0
34,1,1,1,5,3,93,32,1,1,1,1,1,1,1,1,1,0,1,1
18,0,-999,2,4,0,49,33,0,1,1,1,1,0,0,0,0,0,0,0
44,1,2,2,6,0,95,34,1,0,0,0,1,1,1,0,1,1,0,0
22,0,-999,2,5,16,51,35,1,1,0,1,1,0,1,1,1,1,1,1
25,0,-999,2,6,1,93,36,0,0,1,1,0,1,0,1,0,1,1,1
33,1,1,1,5,3,54,37,1,1,0,1,1,0,0,1,0,1,1,1
24,0,-999,1,6,0,79,38,1,0,0,1,1,0,0,0,0,1,1,1
24,0,-999,1,5,21,100,39,1,1,0,1,0,1,1,1,1,1,0,0
19,0,-999,1,4,21,74,40,1,1,1,0,0,1,1,1,1,1,0,0
23,1,1,1,4,10,87,41,0,1,0,1,0,0,0,1,0,1,1,0
32,0,-999,1,5,11,98,42,1,1,0,1,0,1,0,1,1,1,0,0
29,0,-999,1,5,0,91,43,1,1,1,0,0,1,0,0,1,0,1,1
27,0,-999,1,6,57,53,44,1,0,0,0,1,1,0,1,1,0,1,1
28,0,-999,1,6,14,83,45,1,1,1,0,1,1,0,1,1,1,1,1
21,0,-999,1,5,0,68,46,1,1,1,0,0,1,1,1,0,1,1,1
18,0,-999,1,3,13,44,47,0,0,0,0,0,0,0,1,1,1,1,1
25,0,-999,2,5,67,50,48,1,1,1,0,1,1,1,1,1,0,1,1
17,0,-999,2,2,60,59,49,1,1,1,1,0,0,0,1,0,1,1,0
38,0,-999,1,6,72,50,50,0,1,1,1,0,0,1,0,0,1,0,1
17,0,-999,1,4,100,100,51,1,1,1,1,0,1,1,0,0,1,0,0
41,1,1,1,6,0,100,52,1,0,0,1,1,1,1,1,0,1,1,1
17,0,-999,1,3,64,87,53,1,1,0,1,1,1,0,0,0,1,1,0
39,1,1,1,5,38,41,54,1,1,1,1,1,1,0,0,1,1,1,1
22,0,-999,1,5,15,51,55,1,1,1,1,1,1,1,1,1,0,1,1
17,0,-999,1,3,84,100,56,1,1,1,0,1,0,1,1,1,1,1,1
19,0,-999,2,4,0,51,57,1,0,0,0,1,0,0,0,1,0,0,1
24,0,-999,2,5,11,60,58,1,1,0,1,1,0,0,1,1,1,0,1
23,0,-999,2,5,0,52,59,1,1,0,0,1,0,1,0,0,1,1,0
18,0,-999,1,5,64,65,60,0,1,0,1,0,0,0,1,0,1,1,1
21,0,-999,1,4,0,100,61,1,1,1,0,1,0,1,1,1,1,0,0
21,0,-999,1,5,19,70,62,0,1,1,1,0,1,1,0,1,1,1,0
23,0,-999,1,5,0,100,63,1,1,1,0,1,1,1,0,0,1,1,1
22,0,-999,1,5,51,78,64,0,0,0,0,0,1,1,0,0,0,0,0
34,0,-999,2,4,0,73,65,0,1,0,1,1,1,1,1,0,0,0,1
23,0,-999,1,6,13,73,66,1,0,1,0,0,0,0,0,1,1,0,0
25,0,-999,1,4,84,59,67,0,0,1,1,0,1,1,1,1,0,1,1
34,1,2,1,6,32,52,68,1,0,1,0,0,1,0,1,1,1,1,1
41,0,-999,2,5,22,49,69,1,1,1,1,1,1,1,1,1,1,0,1
27,0,-999,1,5,0,70,70,1,1,1,1,1,1,0,1,1,0,1,1
26,0,-999,1,5,26,77,71,1,0,1,1,1,0,0,0,0,1,1,1
47,1,1,2,6,5,91,72,1,0,1,1,1,1,1,1,1,0,1,0
25,0,-999,2,6,50,84,73,1,1,0,1,0,1,1,0,1,0,1,1
25,0,-999,1,6,3,62,74,1,0,0,1,1,1,1,1,0,0,0,1
31,0,-999,1,4,56,79,75,1,1,1,1,1,1,1,0,1,0,1,1
25,0,-999,1,5,0,60,76,1,1,1,1,0,1,0,0,1,1,1,1
33,0,-999,1,5,40,77,77,0,1,1,1,0,0,1,0,1,1,1,0
33,0,-999,1,6,0,100,78,0,0,1,0,1,1,1,1,1,1,1,0
31,0,-999,2,5,0,64,79,1,1,1,0,0,1,1,1,1,0,0,1
25,0,-999,2,4,0,34,80,1,1,1,1,1,1,1,1,0,0,0,0
22,0,-999,1,5,58,68,81,1,1,0,1,1,1,0,1,0,0,0,1
19,0,-999,1,4,0,93,82,0,0,1,0,1,1,0,1,1,1,1,0
26,0,-999,2,5,9,73,83,1,0,1,0,1,0,1,1,1,0,1,1
26,0,-999,2,5,81,25,84,1,0,1,0,1,1,0,1,1,1,1,0
13,0,-999,2,3,0,100,85,0,1,0,1,1,1,0,0,1,0,1,1
23,0,-999,3,5,15,81,86,1,1,1,1,0,1,1,1,1,1,0,1
31,0,-999,1,5,1,78,87,1,0,1,1,0,1,1,0,0,1,0,0
30,1,1,2,6,0,100,88,0,1,1,1,0,0,1,0,1,0,1,0
28,0,-999,1,5,0,100,89,0,0,1,0,0,1,0,0,0,1,1,0
15,0,-999,2,2,51,17,90,0,1,0,1,1,0,0,0,0,0,1,0
24,0,-999,1,5,90,68,91,1,1,1,1,1,1,1,0,1,1,1,1
38,0,-999,1,6,97,85,92,0,0,0,1,1,1,1,1,1,0,0,1
31,0,-999,1,6,0,46,93,1,1,1,0,0,1,1,1,0,1,0,0
17,0,-999,2,4,28,67,94,0,0,0,1,0,0,0,0,0,1,0,0
45,1,2,1,6,48,60,95,0,1,1,1,0,0,1,1,1,1,1,1
32,0,-999,1,5,0,72,96,1,0,1,1,0,0,1,0,1,1,1,0
26,0,-999,2,6,0,80,97,1,1,1,1,0,0,0,1,0,1,1,1
26,0,-999,2,5,0,79,98,1,0,1,1,1,0,0,1,1,0,1,1
30,0,-999,2,6,24,71,99,0,0,0,1,1,1,1,1,1,1,0,1
27,0,-999,2,6,44,79,100,1,0,0,0,1,1,1,1,1,1,1,0
18,0,-999,1,5,6,94,101,0,1,1,1,1,1,1,0,1,1,1,1
25,0,-999,2,5,58,99,102,1,0,1,1,0,1,1,1,0,0,1,1
45,1,1,1,6,0,84,103,1,1,1,1,1,0,0,1,1,1,1,1
26,0,-999,2,4,0,97,104,1,1,1,1,0,1,0,1,1,1,1,1
68,1,4,1,5,2,64,105,1,0,1,1,1,0,0,1,1,0,1,0
26,0,-999,2,5,30,85,106,1,0,0,1,1,1,0,1,1,1,0,0
42,0,-999,1,6,72,38,107,1,1,1,1,1,0,0,1,0,1,0,1
28,0,-999,1,5,0,100,108,1,1,0,1,0,0,1,1,0,1,1,1
22,0,-999,1,5,0,80,109,1,1,0,1,1,1,1,0,1,1,1,0
33,0,-999,2,5,26,78,110,0,0,1,1,1,1,1,0,1,1,1,1
18,0,-999,2,5,10,75,111,1,1,0,0,1,1,1,1,0,1,0,0
23,0,-999,2,5,8,76,112,1,0,1,1,1,0,1,0,1,1,1,1
26,0,-999,2,5,27,64,113,0,1,0,1,1,1,1,1,1,1,1,1
33,0,-999,1,6,46,55,114,1,1,1,1,0,1,1,1,0,1,0,1
18,0,-999,1,4,57,96,115,1,1,1,1,0,0,0,1,1,0,0,1
26,0,-999,2,4,24,71,116,0,1,1,0,0,0,0,0,0,0,0,1
39,0,-999,1,6,56,57,117,0,1,1,0,0,1,1,1,1,0,1,0
27,0,-999,1,5,0,86,118,1,0,0,0,1,1,1,0,1,1,0,1
29,0,-999,2,5,15,80,119,1,0,0,0,1,1,0,0,0,1,1,1
21,0,-999,1,4,36,100,120,1,1,1,1,1,1,1,1,1,0,1,1
18,0,-999,2,4,21,49,121,0,1,0,1,1,0,1,1,0,0,1,0
26,0,-999,2,5,20,76,122,1,0,1,1,0,1,0,0,0,0,1,1
42,0,-999,2,6,0,85,123,0,1,1,0,1,1,1,1,1,1,0,0
30,0,-999,2,5,13,60,124,1,0,1,1,1,0,1,1,1,1,1,1
22,0,-999,2,4,14,90,125,1,1,1,0,1,1,0,1,1,0,1,1
24,0,-999,2,4,24,67,126,1,0,1,0,0,0,1,1,1,1,0,1
20,0,-999,1,5,0,100,127,1,1,1,1,0,0,0,1,1,1,1,0
23,0,-999,2,5,51,61,128,1,1,1,1,1,1,1,1,1,1,0,1
26,0,-999,2,5,13,77,129,1,1,0,1,1,1,1,0,1,1,1,1
26,0,-999,2,6,0,58,130,0,0,0,1,1,1,1,1,0,1,1,1
25,0,-999,1,5,0,85,131,1,0,0,0,1,0,1,0,1,0,0,1
27,1,3,1,5,48,50,132,1,1,0,0,1,1,0,1,1,0,0,1
26,0,-999,1,6,39,45,133,0,1,1,1,0,0,1,1,0,1,1,1
24,0,-999,1,5,49,78,134,0,1,1,1,1,1,1,1,1,1,1,0
25,0,-999,2,4,57,58,135,1,1,1,0,1,0,1,0,1,0,0,0
23,0,-999,1,5,10,88,136,1,0,1,0,0,1,1,1,1,1,0,0
33,1,1,1,6,0,81,137,1,1,1,0,1,0,1,0,1,1,1,1
21,0,-999,1,4,0,75,138,1,0,0,0,1,1,1,1,1,1,0,1
31,0,-999,1,5,0,50,139,0,0,1,1,1,1,0,0,1,0,0,1
27,0,-999,1,6,0,83,140,1,1,0,1,0,1,1,0,0,0,0,1
23,0,-999,1,6,98,83,141,1,1,1,1,1,1,1,1,1,1,1,1
17,0,-999,1,3,28,58,142,1,0,0,0,0,0,1,0,1,0,1,1
24,1,2,1,5,0,56,143,0,1,1,1,1,1,0,1,1,1,1,1
29,0,-999,1,5,3,100,144,1,1,1,1,0,1,0,1,1,0,1,0
28,0,-999,1,5,0,100,145,0,1,1,0,0,1,1,1,0,1,1,1
17,0,-999,1,3,0,56,146,0,0,0,0,1,1,1,1,1,1,1,0
25,0,-999,2,5,0,95,147,1,0,1,1,1,1,0,0,0,1,1,0
21,0,-999,1,5,11,76,148,0,0,0,1,1,1,1,1,0,1,1,1
25,0,-999,1,5,1,75,149,1,1,1,1,1,1,1,1,0,1,1,1
29,0,-999,1,5,0,79,150,1,1,1,1,1,1,0,1,1,1,0,1
27,0,-999,1,5,27,52,151,1,0,1,1,1,0,0,1,1,0,1,1
30,0,-999,2,5,23,74,152,1,1,1,1,1,1,1,0,1,0,0,1
27,0,-999,1,5,0,92,153,1,1,1,0,0,0,0,1,0,1,1,0
25,1,2,1,4,0,100,154,1,1,1,0,0,1,0,1,1,1,1,0
27,0,-999,2,6,72,38,155,1,0,1,1,1,1,0,1,0,1,1,0
31,0,-999,1,6,4,80,156,1,1,1,0,0,0,1,0,0,1,1,1
23,0,-999,2,4,15,19,157,0,1,1,1,0,1,0,1,1,0,0,0
39,0,-999,1,5,0,100,158,1,1,1,1,1,1,1,1,1,0,1,1
21,0,-999,1,5,1,79,159,1,1,0,0,1,1,0,1,1,1,1,0
25,0,-999,1,4,71,83,160,1,0,1,1,1,0,1,1,1,1,0,0
17,0,-999,2,3,13,72,161,1,1,1,0,1,1,1,1,0,0,1,0
40,1,1,1,5,22,53,162,1,0,1,1,1,0,0,0,1,1,0,1
36,1,3,2,4,25,37,163,1,0,1,0,0,1,0,0,1,0,1,1
33,0,-999,2,6,0,100,164,1,1,1,0,1,1,1,1,1,0,0,0
18,0,-999,1,3,4,62,165,1,1,1,1,1,0,0,0,1,0,1,0
21,0,-999,1,4,22,87,166,1,1,0,0,0,0,0,1,1,0,0,0
55,1,2,1,6,99,97,167,1,1,0,0,0,1,0,1,1,1,1,1
17,0,-999,1,3,0,100,168,1,1,1,1,1,0,1,0,1,1,1,1
36,1,1,2,4,0,61,169,0,1,0,1,1,1,1,0,1,0,0,0
26,0,-999,2,5,8,72,170,0,1,0,1,1,0,1,0,1,1,1,1
23,0,-999,1,5,100,0,171,1,1,1,1,0,0,0,1,1,0,1,1
44,0,-999,1,4,100,55,172,1,1,1,1,1,1,1,1,1,1,1,0
54,0,-999,2,3,0,78,173,0,1,0,1,1,0,1,1,0,1,1,1
55,0,-999,1,6,0,100,174,1,1,0,1,1,1,1,1,1,1,0,1
27,0,-999,1,5,31,61,175,1,1,1,1,1,1,1,0,1,1,1,1
27,0,-999,2,3,3,78,176,0,0,1,1,0,1,0,1,0,1,1,0
24,0,-999,1,6,0,100,177,0,0,0,0,1,1,1,1,0,0,0,0
46,0,-999,1,6,1,77,178,0,1,0,1,0,0,0,1,1,0,1,0
30,1,1,2,6,100,70,179,0,1,0,1,1,0,0,1,1,1,1,0
24,0,-999,1,5,18,86,180,1,1,1,1,1,1,1,0,1,1,1,0
38,1,2,1,5,100,100,181,0,1,0,1,1,0,1,1,0,1,1,1
23,0,-999,2,5,18,48,182,0,1,0,1,0,0,0,1,1,1,0,1
21,0,-999,1,5,0,84,183,1,1,1,0,1,0,1,0,1,0,1,1
39,0,-999,1,6,0,100,184,1,1,0,0,1,1,1,0,0,1,0,1
21,0,-999,1,4,13,69,185,1,1,1,0,0,1,0,0,1,1,1,0
23,0,-999,2,5,0,100,186,0,1,0,1,1,1,0,1,1,1,0,1
25,0,-999,1,5,66,64,187,0,1,1,1,1,1,1,1,0,1,1,1
23,0,-999,1,5,0,100,188,1,1,1,0,0,1,1,1,1,0,1,0
37,0,-999,2,6,63,66,189,1,0,1,0,1,1,1,0,1,1,1,1
32,1,1,2,5,0,73,190,0,1,0,1,0,1,1,1,1,1,0,0
43,1,2,2,5,0,100,191,1,0,1,0,0,0,0,0,0,1,1,0
29,0,-999,1,6,12,77,192,0,1,0,1,1,0,1,0,1,0,1,1
40,1,2,1,6,36,66,193,1,1,0,0,1,1,0,0,1,1,1,0
27,0,-999,1,5,60,77,194,0,1,0,1,1,0,1,1,0,1,1,0
30,1,1,1,5,17,62,195,1,1,1,1,1,0,1,1,1,1,1,1
29,0,-999,1,6,48,53,196,1,1,0,1,1,1,0,1,0,0,0,0
18,0,-999,1,4,0,49,197,1,0,0,0,1,1,1,1,1,0,0,0
24,0,-999,1,5,0,100,198,0,1,1,0,1,0,1,0,1,1,0,0
21,0,-999,2,5,0,50,199,1,0,1,0,0,0,0,1,1,1,1,1
27,0,-999,1,6,29,51,200,1,1,1,0,1,0,0,1,1,1,1,0
32,1,1,1,6,14,100,201,1,0,1,0,0,0,1,1,1,1,1,1
40,1,1,1,5,33,90,202,1,1,1,1,1,1,1,0,0,1,1,0
24,0,-999,1,4,14,90,203,0,1,1,0,0,1,0,1,1,1,1,0
27,0,-999,2,6,61,69,204,0,1,1,0,1,0,1,1,1,1,1,0
27,0,-999,1,6,27,49,205,0,1,1,0,1,1,1,0,1,1,0,1
31,0,-999,1,6,52,61,206,1,1,0,1,1,0,1,0,1,1,0,1
66,1,1,1,4,0,100,207,0,0,0,1,1,1,1,0,1,1,0,1
43,1,2,1,6,39,75,208,1,1,0,0,1,1,0,0,1,1,0,1
55,1,3,1,5,32,53,209,0,1,1,1,0,1,1,1,0,1,0,1
40,1,2,1,5,4,94,210,1,1,1,1,0,1,1,1,0,0,1,1
31,0,-999,1,6,0,100,211,0,1,0,0,1,1,1,1,0,1,1,1
47,1,1,1,5,58,55,212,1,1,0,1,1,1,1,1,0,0,0,1
20,0,-999,1,5,65,54,213,1,1,0,1,0,1,1,1,1,1,1,0
43,0,-999,1,5,21,36,214,0,0,0,0,0,1,1,0,1,1,1,1
33,0,-999,2,1,0,100,215,0,0,1,0,0,0,0,0,0,0,0,0
39,1,1,2,5,53,45,216,1,1,1,1,1,0,1,0,1,1,1,0
20,0,-999,2,4,28,78,217,1,0,1,1,1,0,1,1,1,0,1,1
23,0,-999,1,5,31,75,218,0,1,0,1,1,0,1,1,0,1,0,0
40,1,2,1,5,64,62,219,1,1,1,1,1,1,1,1,0,1,1,1
34,0,-999,1,6,0,73,220,0,1,1,1,1,1,1,1,0,1,0,1
23,0,-999,2,5,0,56,221,1,0,0,1,1,0,1,0,1,1,1,1
21,0,-999,2,5,100,98,222,0,1,1,0,1,0,1,1,0,1,1,1
37,0,-999,2,5,0,100,223,1,0,1,0,1,0,1,1,1,1,1,1
25,0,-999,2,3,56,50,224,0,1,0,1,1,1,0,1,0,1,1,0
34,1,1,1,5,21,60,225,1,1,1,1,1,1,1,1,1,1,1,1
28,0,-999,2,5,20,73,226,0,0,1,1,0,0,1,1,0,0,0,0
25,0,-999,1,5,38,79,227,1,0,1,1,0,1,1,0,1,1,0,1
24,0,-999,1,5,37,48,228,1,0,1,0,0,1,1,1,1,1,1,0
40,0,-999,2,5,24,78,229,1,1,1,1,1,0,1,1,1,0,0,0
28,0,-999,1,5,57,17,230,1,1,0,1,1,1,1,0,0,1,1,1
22,0,-999,1,4,0,100,231,1,1,0,0,1,0,1,1,0,0,0,1
27,1,1,1,4,0,48,232,1,1,0,0,1,1,1,0,1,0,0,1
28,0,-999,1,6,39,53,233,0,0,0,1,0,1,1,1,0,1,1,1
42,0,-999,2,5,17,56,234,1,0,1,1,1,1,1,1,1,1,1,1
54,1,1,1,6,72,70,235,0,1,0,1,1,1,0,1,1,1,1,1
32,0,-999,1,4,88,58,236,1,0,1,1,0,1,1,1,1,0,1,1
18,0,-999,2,4,0,43,237,1,0,0,1,0,0,0,0,0,1,1,1
29,0,-999,2,5,63,100,238,0,0,1,1,1,1,1,0,0,1,0,1
28,0,-999,1,6,23,80,239,1,1,1,1,0,0,1,1,1,0,1,1
21,0,-999,1,5,2,32,240,1,0,1,0,1,1,0,1,0,1,1,1
24,0,-999,1,5,7,76,241,0,0,0,1,0,1,1,0,1,1,0,1
21,0,-999,1,5,0,100,242,1,0,1,1,1,1,0,1,0,0,1,1
32,0,-999,2,5,53,53,243,1,0,1,0,1,1,0,1,0,0,0,1
19,0,-999,2,4,0,61,244,1,1,0,0,0,1,1,1,0,1,0,1
26,0,-999,1,6,34,78,245,1,1,1,1,1,1,1,0,1,1,1,1
23,0,-999,2,3,37,23,246,0,1,1,1,0,1,0,0,0,1,0,0
28,0,-999,2,6,0,100,247,1,1,0,0,1,0,0,1,0,0,1,0
28,0,-999,2,6,15,57,248,0,0,1,0,0,0,1,1,1,1,0,1
41,1,1,2,5,49,1,249,0,1,1,1,1,1,0,1,1,0,1,1
42,1,12,1,5,39,91,250,0,0,1,0,0,0,1,1,1,1,1,1
32,0,-999,1,6,0,100,251,1,1,1,1,0,0,1,1,1,0,1,1
36,0,-999,1,5,11,86,252,1,1,0,1,1,1,1,1,1,0,0,1
23,0,-999,2,6,40,71,253,0,1,1,0,1,1,0,1,1,0,1,1
28,0,-999,1,6,0,74,254,0,1,1,1,1,0,1,0,1,0,1,1
25,0,-999,1,5,0,65,255,1,1,0,1,1,1,1,0,1,1,0,0
47,0,-999,1,6,16,75,256,1,1,1,1,1,0,0,0,0,1,1,1
26,0,-999,1,5,0,100,257,1,1,1,0,1,1,1,1,1,0,1,1
99,0,-999,3,6,2,0,258,0,0,0,0,0,0,0,0,0,0,1,1
39,1,2,2,5,29,73,259,0,0,1,1,1,1,0,1,0,0,0,1
34,1,1,2,6,51,59,260,0,0,1,1,0,1,0,1,1,1,1,0
32,0,-999,2,6,30,96,261,0,1,1,1,1,1,1,0,1,1,0,0
26,0,-999,1,5,3,100,262,1,0,1,1,0,1,1,1,0,1,1,0
48,1,1,2,4,51,0,263,1,1,0,1,1,1,1,0,1,0,1,1
27,0,-999,2,5,48,53,264,0,0,0,0,1,1,1,0,0,0,0,1
24,0,-999,1,4,55,65,265,1,1,1,1,0,1,1,0,0,1,1,1
28,1,1,2,6,16,31,266,0,1,0,0,0,1,0,0,1,1,1,0
31,0,-999,2,6,83,73,267,0,1,1,0,1,1,1,0,0,1,1,1
21,0,-999,1,4,4,62,268,1,1,1,1,0,0,0,1,1,0,0,1
16,0,-999,1,3,0,88,269,0,0,1,1,0,0,0,0,0,1,0,0
26,0,-999,2,5,10,67,270,0,1,0,0,1,1,0,0,0,1,1,0
20,0,-999,1,4,0,81,271,0,0,1,0,0,1,1,0,1,1,0,0
20,0,-999,1,4,19,83,272,1,1,1,1,1,0,1,1,0,0,1,0
25,0,-999,1,5,34,82,273,1,1,0,1,1,1,0,0,0,0,1,0
23,0,-999,2,4,63,66,274,0,1,0,0,1,0,1,0,0,0,0,1
31,0,-999,1,6,2,81,275,0,1,0,1,0,0,0,0,1,1,0,1
37,1,1,2,4,0,100,276,0,0,0,0,1,1,0,1,1,0,1,0
27,0,-999,2,5,25,66,277,1,1,1,1,0,0,1,1,1,1,0,1
24,0,-999,1,5,22,77,278,1,0,1,0,0,1,0,1,0,1,1,0
24,0,-999,1,5,0,80,279,0,1,1,1,0,1,1,0,1,0,0,0
18,0,-999,1,4,0,58,280,1,1,1,0,0,1,0,1,0,0,0,0
32,1,1,1,5,25,76,281,1,1,1,1,1,1,1,1,0,0,0,1
23,0,-999,1,4,59,65,282,1,1,1,0,1,1,0,0,1,1,1,1
17,0,-999,1,5,59,63,283,0,0,1,0,1,1,1,0,0,1,1,0
18,0,-999,1,3,0,53,284,1,0,1,0,1,1,0,1,1,1,1,0
23,0,-999,1,4,0,100,285,1,0,0,1,1,1,0,0,0,1,0,0
19,0,-999,1,5,18,82,286,0,0,1,1,0,0,0,1,0,0,1,1
32,0,-999,2,6,2,87,287,1,0,1,1,1,1,1,1,0,0,1,0
23,0,-999,1,5,0,75,288,0,1,0,1,1,1,1,1,1,0,1,1
23,0,-999,1,5,0,70,289,0,0,1,1,1,0,1,0,1,1,0,0
25,0,-999,2,4,0,26,290,0,1,1,1,1,0,1,1,1,1,1,1
24,0,-999,1,6,67,67,291,0,1,1,1,0,0,1,0,1,1,0,1
28,0,-999,1,5,0,83,292,1,0,1,1,1,1,1,1,1,1,0,1
35,0,-999,2,6,50,79,293,0,1,0,0,0,1,0,1,0,0,1,1
17,0,-999,3,3,0,100,294,0,0,1,1,1,1,0,1,1,0,1,0
24,0,-999,1,5,1,74,295,0,1,1,1,1,1,1,1,0,1,1,0
26,1,2,1,5,52,51,296,0,0,1,1,1,1,0,1,1,1,1,1
23,0,-999,1,5,67,47,297,0,1,0,1,1,1,0,1,0,0,0,1
19,0,-999,1,5,0,82,298,0,1,1,1,1,0,1,0,0,1,1,0
27,0,-999,2,5,54,59,299,1,1,1,0,0,1,1,0,0,0,0,1
51,1,3,2,6,0,77,300,0,1,1,1,1,1,1,1,0,1,1,1
33,0,-999,1,6,52,57,301,0,1,1,1,1,1,1,0,1,1,0,1
